"date","total","acc_injured","injured","died","drunk","no_license","overspeed","pedestrians","crosswalk","report","temp.0","wind_direction.0","wind_speed.0","weather_code.0","cloudiness.0","visibility.0","humidity.0","pressure.0","temp.3","wind_direction.3","wind_speed.3","weather_code.3","cloudiness.3","visibility.3","humidity.3","pressure.3","temp.6","wind_direction.6","wind_speed.6","weather_code.6","cloudiness.6","visibility.6","humidity.6","pressure.6","temp.9","wind_direction.9","wind_speed.9","weather_code.9","cloudiness.9","visibility.9","humidity.9","pressure.9","temp.12","wind_direction.12","wind_speed.12","weather_code.12","cloudiness.12","visibility.12","humidity.12","pressure.12","temp.15","wind_direction.15","wind_speed.15","weather_code.15","cloudiness.15","visibility.15","humidity.15","pressure.15","temp.18","wind_direction.18","wind_speed.18","weather_code.18","cloudiness.18","visibility.18","humidity.18","pressure.18","temp.21","wind_direction.21","wind_speed.21","weather_code.21","cloudiness.21","visibility.21","humidity.21","pressure.21"
"2012-04-01",80,1,2,0,24,22,298,160,45,"За прошедшие сутки в городе Минске зарегистрировано 80 дорожно-транспортных происшествий, 1 ДТП с пострадавшими, в котором 2 человека получили травмы. За прошедшие сутки в городе Минске задержано 24 водителя, управлявших транспортными средствами в состоянии алкогольного опьянения, 4 водителя скрылись с мест ДТП, 22 водителя не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 298 водителей. Привлечено к административной ответственности 160 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 45 водителей.",0.4,"N","2","SN",9,10,96,991,0.4,"NW","2","SN",9,10,94,993,0.3,"NW","2","SN",9,3.2,92,996,0,"N","3","CL",9,10,75,998,-0.2,"NW","3","CL",7,10,59,1000,0.2,"NW","2","CL",3,10,48,1001,-1.3,"","0","CL",1,10,52,1002,-1.6,"W","1","CL",0,10,61,1002
"2012-04-02",58,1,1,0,24,16,331,81,37,"За прошедшие сутки в городе Минске зарегистрировано 58 дорожно-транспортных происшествий, 1 ДТП с пострадавшим, в котором 1 человек получил травмы. За прошедшие сутки в городе Минске задержано 24 водителя, управлявших транспортными средствами в состоянии алкогольного опьянения, 11 водителей скрылись с мест ДТП, 16 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечен к ответственности 331 водитель. Привлечен к административной ответственности 81 пешеход-нарушитель. За нарушение правил проезда пешеходных переходов привлечено к ответственности 37 водителей.",-1.9,"SW","2","CL",3,10,69,1000,-1.5,"S","4","CL",9,10,72,995,-2,"S","4","SN",9,0.8,96,990,0.6,"SW","3","SN",9,10,87,988,1.8,"NW","4","CL",7,10,57,993,1,"W","4","CL",7,10,61,996,-0.2,"W","2","CL",6,10,57,1000,-1.4,"W","2","CL",0,10,60,1002
"2012-04-03",293,0,0,0,14,12,104,63,24,"За прошедшие сутки в городе Минске зарегистрировано 293 дорожно-транспортных происшествия,  ДТП с пострадавшими не зарегистрировано. За прошедшие сутки в городе Минске задержано 14 водителей, управлявших транспортными средствами в состоянии алкогольного опьянения, 11 водителей скрылись с мест ДТП, 12 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 104 водителя. Привлечено к административной ответственности 63 пешехода-нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 24 водителя.",-2.3,"W","2","CL",0,10,64,1004,-2.6,"W","2","CL",0,10,63,1005,-0.8,"W","2","CL",0,10,64,1007,2.7,"SW","3","CL",3,10,52,1009,3.2,"W","2","CL",3,10,51,1011,4.4,"W","1","CL",6,10,44,1012,1.5,"SW","1","CL",1,10,56,1014,-2.2,"","0","CL",0,10,77,1016
"2012-04-04",98,1,1,1,9,15,289,97,73,"За прошедшие сутки в городе Минске зарегистрировано 98 дорожно-транспортных происшествий, 1 ДТП с пострадавшими, в котором 1 человек получил травмы и 1 погиб. За прошедшие сутки в городе Минске задержано 9 водителей, управлявших транспортными средствами в состоянии алкогольного опьянения, 14 водителей скрылись с мест ДТП, 15 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 289 водителей. Привлечено к административной ответственности 97 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 73 водителя.",-1.6,"","0","CL",7,10,81,1016,-0.1,"","0","HL",7,10,76,1016,1.6,"SE","1","CL",9,10,63,1016,5.4,"SE","2","CL",9,10,56,1014,8.1,"SE","2","RA",9,10,54,1011,5.1,"E","3","RA",9,7,88,1009,2.1,"NE","3","SHRA",9,3.8,91,1008,1.1,"N","3","CL",9,10,92,1008
"2012-04-05",94,1,1,0,17,13,169,187,140,"За прошедшие сутки в городе Минске зарегистрировано 94 дорожно-транспортных происшествия, 1 ДТП с пострадавшим, в котором 1 человек получил травмы. За прошедшие сутки в городе Минске задержано 17 водителей, управлявших транспортными средствами в состоянии алкогольного опьянения, 9 водителей скрылись с мест ДТП, 13 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 169 водителей. Привлечено к административной ответственности 187 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 140 водителей.",0.7,"NW","2","CL",9,10,92,1009,0.3,"NW","2","CL",9,10,90,1011,0.3,"NE","2","CL",9,10,90,1014,0.9,"NE","2","CL",9,10,81,1016,0.8,"NW","2","CL",9,10,84,1017,1.4,"NW","2","CL",9,10,81,1018,-0.5,"","0","CL",1,10,88,1019,-2.7,"","0","CL",0,10,96,1019
"2012-04-06",85,1,0,1,13,15,211,159,127,"За прошедшие сутки в городе Минске зарегистрировано 85 дорожно-транспортных происшествий, 1 ДТП с пострадавшим, в котором 1 человек погиб. За прошедшие сутки в городе Минске задержано 13 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 15 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 211 водителей. Привлечено к административной ответственности 159 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 127 водителей.",-3.6,"","0","BR",0,8,94,1019,-3.9,"","0","BR",9,6,96,1018,-1,"SE","1","CL",9,10,89,1017,-0.4,"SE","2","CL",9,10,74,1015,1.3,"SE","2","CL",9,10,72,1013,2,"SE","2","CL",9,10,76,1010,0.5,"SE","1","SHSN",9,6,90,1009,0.1,"","0","SN",9,4.2,94,1007
"2012-04-07",83,0,0,0,15,20,205,195,174,"За прошедшие сутки в городе Минске зарегистрировано 83 дорожно-транспортных происшествия,  ДТП с пострадавшими не зарегистрировано. За прошедшие сутки в городе Минске задержано 15 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 20 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 205 водителей. Привлечено к административной ответственности 195 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 174 водителя.",0,"","0","SHSN",9,3,96,1004,0.1,"","0","SN",9,8,94,1002,0.5,"","0","SN",9,6,90,1001,1.8,"","0","RA",9,10,91,999,3.3,"S","1","CL",9,10,86,998,3.8,"S","1","BR",9,8,88,997,3.1,"SW","1","CL",9,10,86,998,0.6,"","0","BR",7,6,92,997
"2012-04-08",81,0,0,0,26,27,241,157,94,"За прошедшие сутки в городе Минске зарегистрировано 81 дорожно-транспортное происшествие,  ДТП с пострадавшими не зарегистрировано. За прошедшие сутки в городе Минске задержано 26 водителей, управлявших транспортными средствами в состоянии алкогольного опьянения, 7 водителей скрылись с мест ДТП, 27 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечен к ответственности 241 водитель. Привлечено к административной ответственности 157 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 94 водителя.",2.5,"S","1","BR",9,8,93,996,2.8,"SW","1","BR",9,7,90,996,2.9,"SW","2","RA",9,6,89,996,4.7,"SW","3","CL",7,10,64,997,6.5,"W","3","CL",7,10,42,998,5.9,"NW","1","CL",9,10,51,999,2.6,"NW","2","CL",9,10,68,1002,1,"NW","1","CL",1,10,81,1003
"2012-04-09",46,0,0,0,21,16,233,106,56,"За прошедшие сутки в городе Минске зарегистрировано 46 дорожно-транспортных происшествий,  ДТП с пострадавшими не зарегистрировано. За прошедшие сутки в городе Минске задержан 21 водитель, управлявший транспортными средствами в состоянии алкогольного опьянения, 6 водителей скрылись с мест ДТП, 16 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 233 водителя. Привлечено к административной ответственности 106 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 56 водителей.",1.4,"NW","2","CL",9,10,85,1004,1.1,"NW","3","CL",9,10,88,1004,0.1,"N","3","CL",9,10,73,1006,0.5,"N","3","CL",9,10,65,1007,0.5,"N","2","CL",9,10,65,1008,1.8,"N","2","CL",3,10,56,1009,1.5,"N","1","CL",0,10,55,1011,-1.2,"N","1","CL",0,10,64,1012
"2012-04-10",67,2,2,0,22,13,208,175,102,"За прошедшие сутки в городе Минске зарегистрировано 67 дорожно-транспортных происшествий, 2 ДТП с пострадавшими, в которых 2 человека получили травмы. За прошедшие сутки в городе Минске задержано 22 водителя, управлявших транспортными средствами в состоянии алкогольного опьянения, 10 водителей скрылись с мест ДТП, 13 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 208 водителей. Привлечено к административной ответственности 175 пешеходов-нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 102 водителя.",-3.4,"NW","1","CL",0,10,76,1014,-5.2,"","0","CL",0,10,85,1015,1.1,"NE","1","CL",0,10,56,1015,3.9,"N","2","CL",0,10,31,1015,5.9,"NE","3","CL",0,10,29,1014,6.6,"NE","2","CL",0,10,29,1013,3.4,"E","1","CL",0,10,45,1014,0.9,"SE","1","CL",0,10,62,1014
